id,title,description,publisher,trove_url,download_text,issue_count,start_date,end_date,start_year,end_year,extent,place,issn,catalogue_url
nla.obj-806514451,Activities,,Australian Govt. Pub. Service.,https://nla.gov.au/nla.obj-806514451,https://trove-journals.s3.ap-southeast-2.amazonaws.com/activities-nla.obj-806514451.zip,4,1988-01-01,1991-06-30,1988,1991,4 volumes ; 25 cm.,Australia,,https://nla.gov.au/nla.cat-vn655983
nla.obj-54185597,Acts of Parliament of Victoria ...,,Govt. Printing Office,https://nla.gov.au/nla.obj-54185597,https://trove-journals.s3.ap-southeast-2.amazonaws.com/acts-of-parliament-of-victoria-nla.obj-54185597.zip,4,1857-01-01,1890-02-01,1864,1890,v. ; 29-33 cm.,,,https://nla.gov.au/nla.cat-vn256037
nla.obj-54127737,Acts of the Parliament : passed in the first year of the reign of his majesty King Edward the seventh ...,,"By authority, Robt. S. Brain, Government Printer",https://nla.gov.au/nla.obj-54127737,https://trove-journals.s3.ap-southeast-2.amazonaws.com/acts-of-the-parliament-passed-in-the-first-year-of-nla.obj-54127737.zip,15,1901-01-01,1984-02-01,1906,1984,v. ; 23 cm.,Victoria,,https://nla.gov.au/nla.cat-vn2196536
nla.obj-53890906,Acts of the Parliament of South Australia.,,Government Printer,https://nla.gov.au/nla.obj-53890906,https://trove-journals.s3.ap-southeast-2.amazonaws.com/acts-of-the-parliament-of-south-australia-nla.obj-53890906.zip,19,1858-01-01,1993-01-01,1844,1993,v. ; 25-31 cm.,South Australia,,https://nla.gov.au/nla.cat-vn1622047
nla.obj-55252550,Acts of the Victorian Parliament.,,Victorian Govt. Printing Office,https://nla.gov.au/nla.obj-55252550,https://trove-journals.s3.ap-southeast-2.amazonaws.com/acts-of-the-victorian-parliament-nla.obj-55252550.zip,1,1988-01-01,1989-01-01,1989,1989,volumes ; 26 cm.,Victoria,1032-9099,https://nla.gov.au/nla.cat-vn673958
nla.obj-2976852085,"Addenda to the arranged catalogue of the books in the Australian Subscription Library : with alteration of rules, statement of the funds for ... , new members, etc.",,Printed by J. Tegg and Co.,https://nla.gov.au/nla.obj-2976852085,https://trove-journals.s3.ap-southeast-2.amazonaws.com/addenda-to-the-arranged-catalogue-of-the-books-in--nla.obj-2976852085.zip,4,1840-01-01,1845-01-01,1840,1845,volumes ; 21 cm.,,,https://nla.gov.au/nla.cat-vn2615975
nla.obj-3000063972,Adelaide punch almanac.,,Adelaide Punch,https://nla.gov.au/nla.obj-3000063972,https://trove-journals.s3.ap-southeast-2.amazonaws.com/adelaide-punch-almanac-nla.obj-3000063972.zip,1,1879-01-01,1883-01-01,1883,1883,v. : ill. ; 27-54 cm.,South Australia,,https://nla.gov.au/nla.cat-vn1860192
nla.obj-3000083880,Adelaide punch.,,W.G. Roberts,https://nla.gov.au/nla.obj-3000083880,https://trove-journals.s3.ap-southeast-2.amazonaws.com/adelaide-punch-nla.obj-3000083880.zip,14,1868-01-01,1884-01-01,1878,1884,v. : ill. ; 28 cm.,South Australia,,https://nla.gov.au/nla.cat-vn337780
nla.obj-2963618375,Administration order,,s.n.,https://nla.gov.au/nla.obj-2963618375,,0,0019-01-01,,,,v. : ill. ; 34 cm.,Nauru,,https://nla.gov.au/nla.cat-vn356625
nla.obj-2536014489,Administration order,,s.n.,https://nla.gov.au/nla.obj-2536014489,https://trove-journals.s3.ap-southeast-2.amazonaws.com/administration-order-nla.obj-2536014489.zip,1,0019-01-01,1924-01-01,1924,1924,v. : ill. ; 34 cm.,Nauru,,https://nla.gov.au/nla.cat-vn356625
